,0,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
261,Damavand,75,IR,1553466600,44,35.72,52.07,57.2,4.7
262,Kosa,56,RU,1553469640,80,59.94,54.99,27.75,8.19
263,Broken Hill,40,AU,1553464800,72,-31.97,141.45,64.4,16.11
264,Jijiga,0,ET,1553469640,53,9.35,42.8,63.03,8.19
265,Lensk,56,RU,1553469640,73,60.71,114.91,5.34,3.38
266,Tall Kayf,90,TR,1553468400,87,37.08,41.07,48.2,18.34
267,Sainte-Rose,90,CA,1553469359,74,45.61,-73.79,34.0,6.93
268,Seidu,12,NG,1553469641,60,8.32,4.47,79.77,11.54
269,Kampot,40,KH,1553466600,74,10.62,104.18,82.4,13.87
270,Salalah,40,OM,1553464200,78,17.01,54.1,78.8,6.93
271,Presidente Medici,64,BR,1553469641,85,-11.18,-61.9,79.68,0.58
272,Piranshahr,92,IR,1553469641,98,36.7,45.14,33.78,1.7
273,Mogadishu,80,SO,1553469388,97,2.04,45.34,83.01,12.33
274,Mahibadhoo,88,MV,1553469642,100,3.78,72.97,83.82,11.43
275,Bilma,36,NE,1553469531,17,18.69,12.92,73.47,13.56
276,Dongkan,12,CN,1553469642,79,34.0,119.83,48.36,6.51
277,Moussoro,0,TD,1553469642,23,13.64,16.49,80.49,12.21
278,Raudeberg,88,NO,1553469604,93,61.99,5.14,37.99,2.24
279,Goderich,68,CA,1553469623,87,43.74,-81.71,36.0,1.01
280,Airai,8,TL,1553469492,77,-8.93,125.41,77.25,2.15
281,Sechura,8,PE,1553469643,72,-5.56,-80.82,76.17,10.42
282,Hailun,80,CN,1553469643,43,47.46,126.97,27.75,8.19
283,Den Helder,90,NL,1553469608,75,52.96,4.76,46.99,21.92
284,Aykhal,0,RU,1553469644,39,65.95,111.51,-13.84,2.71
285,Port-Gentil,20,GA,1553468400,94,-0.72,8.78,77.0,2.24
286,Kloulklubed,75,PW,1553467800,78,7.04,134.26,80.6,4.7
287,Nemuro,0,JP,1553469644,90,43.32,145.57,34.05,22.28
288,Khani,75,GE,1553466600,93,41.96,42.96,39.2,2.24
289,Lazaro Cardenas,5,MX,1553469541,12,28.39,-105.62,82.4,9.17
290,Nioro,36,GM,1553469645,42,13.79,-15.05,78.6,10.98
291,Taoudenni,56,ML,1553469645,34,22.68,-3.98,70.32,2.59
292,Estelle,75,US,1553469641,54,32.87,-97.01,82.4,20.8
293,Ancud,0,CL,1553468400,76,-41.87,-73.83,53.6,5.82
294,Hoganas,92,SE,1553469636,80,56.2,12.56,42.01,12.75
295,Nishihara,75,JP,1553469537,52,35.74,139.53,52.0,13.87
296,Cesis,8,LV,1553469616,75,57.31,25.27,33.01,3.0
297,Bathsheba,75,BB,1553468400,83,13.22,-59.52,77.0,14.99
298,Namatanai,48,PG,1553469647,100,-3.66,152.44,81.75,7.74
299,Bousse,0,FR,1553469645,64,49.28,6.2,44.6,6.93
300,Lavrentiya,92,RU,1553469647,96,65.58,-170.99,32.61,18.81
301,Raseiniai,90,LT,1553467800,90,55.38,23.12,33.8,13.87
302,Port Said,88,EG,1553469648,33,25.34,30.55,66.81,8.19
303,Honiara,76,SB,1553469462,92,-9.43,159.96,79.41,2.59
304,Bud,75,NO,1553469397,93,62.91,6.91,35.6,11.41
305,Isiro,32,CD,1553469648,93,2.77,27.62,70.77,2.15
306,Kaitong,12,CN,1553469648,44,44.81,123.15,36.3,11.99
307,Miraflores,88,CO,1553469546,96,5.2,-73.14,55.11,1.92
308,Oktyabrskoye,40,RU,1553469627,74,56.73,85.44,28.4,2.24
309,Comodoro Rivadavia,20,AR,1553464800,77,-45.87,-67.48,59.0,13.87
310,Chebsara,88,RU,1553469649,93,59.2,38.84,28.92,6.06
311,Muros,0,ES,1553469604,53,42.77,-9.06,59.0,4.7
312,Jiangyou,68,CN,1553469649,88,31.78,104.73,38.37,3.71
313,Tocopilla,8,CL,1553469650,98,-22.09,-70.2,63.93,4.94
314,Ekhabi,92,RU,1553469650,95,53.51,142.97,22.08,12.44
315,Santa Rosalia,0,IT,1553469646,81,38.07,13.27,57.99,2.24
316,Boende,92,CD,1553469473,90,-0.28,20.88,75.09,2.48
317,Sioux Lookout,1,CA,1553468400,19,50.1,-91.92,26.6,6.93
318,Ponta Delgada,20,PT,1553469533,82,37.73,-25.67,57.2,8.05
319,Meulaboh,20,ID,1553469387,100,4.14,96.13,76.98,4.27
320,Bondo,12,CD,1553469383,95,3.81,23.69,73.11,2.15
321,Gurmatkal,0,IN,1553469651,70,16.87,77.4,70.86,3.27
322,Hwange,24,ZW,1553469651,66,-18.35,26.5,69.15,3.15
323,Padang,20,ID,1553466600,100,-0.92,100.36,73.4,3.36
324,Portland,20,US,1553469025,38,45.52,-122.67,63.0,4.7
325,Tinskoy,88,RU,1553469652,83,56.15,96.92,27.39,6.17
326,Kaeo,56,NZ,1553468885,90,-35.1,173.78,66.0,7.0
327,Batagay-Alyta,0,RU,1553469653,50,67.8,130.41,-11.23,3.15
328,Oum Hadjer,0,TD,1553469653,19,13.3,19.7,82.2,13.56
329,Kautokeino,24,NO,1553469653,79,69.01,23.04,20.73,8.41
330,Sao Filipe,0,CV,1553469550,100,14.9,-24.5,69.15,10.2
331,Tiksi,44,RU,1553469653,61,71.64,128.87,-7.72,3.94
332,San Ignacio,0,CL,1553468400,31,-36.8,-72.03,73.4,8.05
333,Pallisa,12,UG,1553469654,91,1.17,33.71,66.81,0.92
334,Viedma,76,AR,1553469654,69,-40.81,-62.99,54.48,6.73
335,Candolim,0,IN,1553469655,100,15.52,73.76,73.11,3.6
336,Anadyr,90,RU,1553469195,85,64.73,177.51,23.0,22.37
337,Limbang,75,BN,1553466600,88,4.75,115.01,80.6,4.7
338,Orlea,5,RO,1553468400,75,43.75,24.38,41.0,4.7
339,Alvorada,0,BR,1553469646,60,-30.0,-51.08,75.2,6.93
340,Cap-aux-Meules,20,CA,1553464800,69,47.38,-61.86,33.8,19.46
341,Samarai,80,PG,1553469656,100,-10.62,150.67,80.13,15.12
342,Boa Vista,0,BR,1553468400,34,2.82,-60.67,93.2,5.82
343,Marzuq,0,YE,1553469657,76,14.4,46.47,49.71,4.94
344,Acapulco,5,MX,1553464200,70,16.86,-99.88,84.2,11.41
345,Grimma,40,DE,1553469637,74,51.24,12.73,43.0,8.05
346,Plaridel,32,PH,1553469657,98,13.96,122.02,79.41,11.88
347,Boromo,68,BF,1553469658,32,11.74,-2.93,80.4,4.38
348,Los Llanos de Aridane,92,ES,1553469406,59,28.66,-17.92,60.8,6.93
349,Hambantota,0,LK,1553469392,100,6.12,81.12,78.15,8.19
350,Shimoda,40,JP,1553469612,42,34.7,138.93,70.0,6.93
351,Huarmey,24,PE,1553469658,76,-10.07,-78.15,69.78,3.6
352,Ucluelet,20,CA,1553469325,87,48.94,-125.55,60.01,6.93
353,Tuatapere,92,NZ,1553469005,86,-46.13,167.69,66.99,3.0
354,Ustka,20,PL,1553469659,87,54.58,16.86,38.73,14.67
355,Coihaique,0,CL,1553468400,76,-45.58,-72.07,53.6,3.36
356,Novomykolayivka,24,UA,1553469659,74,48.54,32.26,30.81,4.94
357,Port Lincoln,24,AU,1553469660,84,-34.72,135.86,63.66,23.85
358,Yola,56,NG,1553469660,60,9.26,12.45,78.33,4.72
359,Santiago del Estero,36,AR,1553469627,73,-27.8,-64.26,74.01,3.27
360,Edson,90,CA,1553469120,75,53.59,-116.44,41.0,5.82
361,Sur,0,OM,1553469661,100,22.57,59.53,71.4,12.1
362,Vila Franca do Campo,20,PT,1553469353,82,37.72,-25.43,57.2,8.05
363,Tateyama,75,JP,1553469596,42,36.66,137.31,52.0,10.29
364,Noyabrsk,80,RU,1553469661,92,63.2,75.45,20.73,10.09
365,Yenagoa,64,NG,1553469661,91,4.92,6.26,76.17,6.4
366,Peleduy,32,RU,1553469662,68,59.63,112.75,1.2,3.27
367,Tipuani,76,BO,1553469662,86,-15.56,-68.02,69.42,1.25
368,Udachnyy,0,RU,1553469662,54,66.42,112.4,-11.68,2.37
369,Vila,0,IT,1553469634,37,45.18,8.4,57.99,3.36
370,Port Blair,12,IN,1553469551,100,11.67,92.75,81.75,7.52
371,Nanchang,36,CN,1553469663,100,28.68,115.89,46.02,4.05
372,Saldanha,0,PT,1553469478,59,41.42,-6.55,46.38,7.85
373,Port Hedland,90,AU,1553466720,94,-20.31,118.58,77.0,24.16
374,Bosaso,0,SO,1553469664,100,11.28,49.18,77.88,5.95
375,Kiboga,8,UG,1553469664,85,0.92,31.77,65.82,2.71
376,Lampa,0,CL,1553469647,36,-33.29,-70.87,77.0,14.99
377,Pangai,75,TO,1553464800,58,-19.8,-174.35,82.4,12.75
378,Vakhtan,48,RU,1553469665,88,57.97,46.69,28.83,7.18
379,Evensk,64,RU,1553469665,98,61.92,159.24,22.8,15.23
380,Mitsamiouli,20,KM,1553464800,78,-11.38,43.28,78.8,6.93
381,Puerto del Rosario,20,ES,1553468400,77,28.5,-13.86,64.4,4.7
382,Carlos Chagas,56,BR,1553469666,86,-17.7,-40.76,72.93,8.75
383,Narsaq,92,GL,1553467800,55,60.91,-46.05,33.8,35.57
384,Verkhoyansk,8,RU,1553469666,57,67.55,133.39,-6.73,2.59
385,Terney,0,RU,1553469552,81,45.05,136.61,36.93,5.73
386,Auki,12,NG,1553469666,54,12.18,6.51,68.52,0.58
387,Ambilobe,76,MG,1553469667,95,-13.19,49.05,73.38,0.69
388,Presidente Epitacio,36,BR,1553469667,46,-21.76,-52.12,83.01,10.09
389,Somerset,90,US,1553469450,64,37.09,-84.6,66.2,3.36
390,Bereda,0,ES,1553469604,71,43.27,-7.54,55.0,3.36
391,Benghazi,0,LY,1553469668,100,32.12,20.07,60.6,9.98
392,Swan Hill,0,AU,1553469668,83,-35.34,143.56,63.21,18.25
393,Rapar,0,IN,1553469668,43,23.57,70.65,71.49,5.5
394,Petilia Policastro,20,IT,1553469456,93,39.11,16.79,55.0,2.24
395,Gat,0,SN,1553466600,82,14.69,-16.54,66.2,14.99
396,Yeppoon,76,AU,1553466600,69,-23.13,150.74,82.4,5.82
397,Mehamn,75,NO,1553464200,68,71.03,27.85,30.2,23.04
398,Basco,75,US,1553469629,100,40.33,-91.2,54.0,5.82
399,Manzhouli,0,CN,1553469670,28,49.6,117.43,16.05,13.11
400,Lake City,90,US,1553469534,44,38.03,-107.32,39.2,9.17
401,San Quintin,0,PH,1553469570,57,17.54,120.52,74.1,4.16
402,Porto Velho,40,BR,1553468400,88,-8.75,-63.87,78.8,1.12
403,Gondanglegi,64,ID,1553469671,95,-7.75,112.01,74.28,3.71
404,Nelson Bay,75,AU,1553469627,83,-32.72,152.14,75.0,13.87
405,Wagar,0,US,1553469431,58,31.44,-87.99,71.01,3.0
406,Bonavista,0,CA,1553469329,87,48.65,-53.11,33.01,18.01
407,Tsumeb,80,NA,1553469672,27,-19.25,17.72,80.04,9.64
408,Hobyo,68,SO,1553469672,89,5.35,48.53,78.24,7.85
409,Biratnagar,0,NP,1553469672,76,26.46,87.28,60.96,2.93
410,Mufulira,92,ZM,1553469672,98,-12.55,28.24,64.02,4.38
411,Tarakan,20,ID,1553464800,94,3.3,117.63,75.2,1.7
412,Sistranda,40,NO,1553469431,92,63.73,8.83,37.0,2.24
413,Vostok,88,RU,1553469673,89,46.45,135.83,30.36,2.93
414,Beloha,8,MG,1553469522,81,-25.17,45.06,74.91,13.89
415,Nieuw Amsterdam,20,SR,1553469612,83,5.88,-55.08,80.6,6.93
416,Elizabeth City,1,US,1553469620,34,36.3,-76.22,66.2,10.29
417,Flagstaff,1,US,1553469653,24,35.2,-111.65,64.4,12.75
418,Vila Velha,40,BR,1553469500,78,-3.71,-38.6,82.4,3.36
419,Atherton,75,GB,1553469667,81,53.52,-2.49,48.0,16.11
420,Preobrazheniye,0,RU,1553469674,66,42.9,133.91,39.72,3.71
421,Hualmay,32,PE,1553469616,80,-11.1,-77.61,69.51,4.38
422,Antonovo,92,RU,1553469675,96,55.82,88.58,28.2,6.29
423,Bealanana,92,MG,1553469675,96,-14.54,48.75,66.18,2.15
424,Akdagmadeni,20,TR,1553469675,73,39.66,35.88,20.91,12.21
425,Namibe,0,AO,1553469491,100,-15.19,12.15,76.89,8.41
426,Bugene,8,TZ,1553469676,87,-1.59,31.14,61.95,2.37
427,Cabo San Lucas,5,MX,1553469401,41,22.89,-109.91,81.0,10.29
428,Gazanjyk,8,TM,1553469676,87,39.24,55.52,43.41,2.15
429,Redmond,40,US,1553469658,58,47.67,-122.12,57.99,3.04
430,Montrose,90,AU,1553469664,62,-37.81,145.34,62.01,23.04
431,Mao,40,DO,1553469660,57,19.55,-71.08,80.6,11.41
432,Shaunavon,92,CA,1553469677,63,49.65,-108.41,36.93,11.54
433,Negotin,0,RS,1553469677,70,44.23,22.53,42.87,1.7
434,Kenai,90,US,1553469424,88,60.55,-151.26,46.99,9.17
435,Mamallapuram,40,IN,1553468400,88,12.63,80.17,78.8,4.7
436,Wattegama,0,LK,1553469678,85,7.35,80.68,58.08,2.48
437,Digha,0,IN,1553469678,100,21.62,87.51,75.27,4.16
438,Ilulissat,80,GL,1553467800,58,69.22,-51.1,30.2,25.28
439,Port-Cartier,20,CA,1553469505,28,50.03,-66.88,15.8,13.87
440,Goryachiy Klyuch,0,RU,1553469668,80,44.63,39.14,39.0,8.95
441,Carballo,0,ES,1553469674,71,43.21,-8.69,55.99,3.36
442,Sayyan,0,YE,1553469679,79,15.17,44.32,46.11,1.48
443,San Angelo,1,US,1553469428,30,31.46,-100.44,84.0,9.17
444,Ust-Omchug,32,RU,1553469679,73,61.13,149.63,5.61,3.6
445,Piracuruca,92,BR,1553469679,93,-3.93,-41.72,75.45,7.4
446,Ngunguru,12,NZ,1553468885,90,-35.62,174.5,66.0,7.0
447,Khuzdar,0,PK,1553469680,94,27.8,66.62,47.01,2.37
448,San Jose de Guanipa,8,VE,1553469680,32,8.89,-64.17,86.43,10.2
449,Sembakung,20,ID,1553464800,94,3.82,117.25,75.2,2.04
450,Grand Gaube,75,MU,1553469538,78,-20.01,57.66,82.4,11.41
451,High Level,40,CA,1553468400,55,58.52,-117.13,39.2,4.7
452,Kenora,1,CA,1553469171,30,49.76,-94.48,30.2,11.41
453,Never,64,RU,1553469681,68,53.98,124.16,19.02,5.95
454,Santa Fe,0,AR,1553469359,48,-31.62,-60.7,72.0,5.01
455,Tura,0,IN,1553469532,79,25.52,90.21,60.24,2.37
456,Klaksvik,0,FO,1553467800,80,62.23,-6.59,39.2,12.75
457,Porbandar,12,IN,1553469681,62,21.64,69.61,73.74,10.42
458,Sabzevar,8,IR,1553469682,84,36.21,57.68,37.65,3.04
459,Sibolga,32,ID,1553469682,100,1.74,98.78,67.89,1.59
460,Tungor,92,RU,1553469682,95,53.39,142.95,22.08,12.44
461,Somers Point,1,US,1553469425,48,39.32,-74.59,57.99,11.41
462,Beringovskiy,80,RU,1553469566,100,63.05,179.32,31.98,7.74
463,Tual,36,ID,1553469682,98,-5.67,132.75,84.09,9.08
464,Pizarro,8,CO,1553469683,87,4.95,-77.37,78.87,6.4
465,Sitka,0,US,1553469362,54,37.17,-99.65,61.0,7.0
466,Hovd,90,NO,1553469431,100,63.83,10.7,37.99,3.36
467,Terrace Bay,0,CA,1553469683,100,48.78,-87.1,22.44,11.43
468,Zhanaozen,76,KZ,1553469683,90,43.35,52.85,43.14,9.19
469,Pagouria,0,GR,1553469612,76,41.03,25.32,39.99,3.38
470,Lisakovsk,88,KZ,1553469684,88,52.55,62.49,28.29,5.73
471,Waipawa,0,NZ,1553468537,54,-39.94,176.59,77.0,8.01
472,Say,0,NE,1553464800,10,13.1,2.36,91.4,5.82
473,Coria,0,ES,1553469684,69,39.98,-6.54,43.32,3.94
474,Klyuchi,0,RU,1553469684,78,52.25,79.17,20.1,3.38
475,Bandar-e Lengeh,24,IR,1553469685,91,26.56,54.88,72.75,25.97
476,Suicheng,0,CN,1553469685,70,33.9,117.93,48.9,9.98
477,Korenovsk,0,RU,1553469617,80,45.46,39.45,39.0,8.95
478,Dinguiraye,88,GN,1553469685,94,11.29,-10.71,68.88,4.5
479,Chaman,56,AF,1553469686,82,30.92,66.46,38.82,2.59
480,Zyryanka,64,RU,1553469686,74,65.73,150.89,5.52,6.62
481,Skjervoy,88,NO,1553469686,100,70.03,20.97,32.79,11.43
482,Uray,68,RU,1553469686,93,60.13,64.8,29.73,6.85
483,Luderitz,20,NA,1553469685,92,-26.65,15.16,58.8,12.55
484,Luau,64,CD,1553469686,97,-10.7,22.23,63.93,2.26
485,Alepe,0,CI,1553466600,88,5.5,-3.66,82.4,6.93
486,Olinda,75,EC,1553469620,74,-2.03,-79.75,84.2,8.05
487,Young,0,UY,1553469687,58,-32.7,-57.63,62.94,11.77
488,Khasan,88,RU,1553469687,84,42.43,130.64,38.73,4.16
489,Salinopolis,88,BR,1553469464,98,-0.61,-47.36,80.49,11.77
490,Palmer,75,AU,1553469677,82,-34.85,139.16,64.0,20.8
491,Santa Maria,0,BR,1553464800,60,-29.69,-53.81,73.4,2.24
492,Vrangel,0,RU,1553469689,83,42.73,133.08,39.81,16.35
493,Leeton,75,AU,1553469616,82,-34.55,146.4,68.0,17.22
494,Itambacuri,80,BR,1553469690,95,-18.04,-41.68,69.87,4.16
495,Ketchikan,1,US,1553468160,57,55.34,-131.65,55.4,17.22
496,Izhma,44,RU,1553469690,86,65.01,53.91,32.61,8.19
497,Naqadeh,92,IR,1553469690,85,36.96,45.39,37.65,4.27
498,Saint-Joseph,0,FR,1553469650,81,43.56,6.97,57.0,3.36
499,Point Fortin,20,TT,1553469607,65,10.16,-61.68,82.4,13.87
500,Muli,0,IN,1553469691,37,22.62,71.45,74.01,7.74
501,Erenhot,0,CN,1553469454,75,43.65,111.97,21.9,3.15
502,Ixtapa,5,MX,1553469614,69,20.71,-105.21,80.6,14.99
503,Iqaluit,90,CA,1553469170,71,63.75,-68.52,3.2,6.93
504,Saint Lawrence,20,MT,1553469651,93,36.06,14.2,55.0,4.7
505,Umm Lajj,64,SA,1553469692,100,25.02,37.27,66.27,11.65
506,Brae,68,GB,1553467800,75,60.4,-1.35,42.8,20.8
507,Suntar,20,RU,1553469693,65,62.16,117.65,5.79,3.71
508,Talcahuano,0,CL,1553468400,67,-36.72,-73.12,60.8,16.11
509,Nakhon Thai,56,TH,1553469693,91,17.1,100.84,70.32,2.26
510,Yaita,0,JP,1553464800,64,36.8,139.92,33.8,4.7
511,Itaituba,44,BR,1553469693,89,-4.26,-55.99,77.88,2.93
512,Ngorongoro,0,TZ,1553469694,86,-3.24,35.49,52.5,2.59
513,Berlevag,75,NO,1553464200,80,70.86,29.09,30.2,23.04
514,Diamantino,0,BR,1553469694,79,-14.4,-56.44,77.16,3.71
515,Shaoxing,75,CN,1553469678,93,30.0,120.58,54.0,2.24
516,Betim,75,BR,1553468400,73,-19.97,-44.2,73.4,10.29
517,Homer,90,US,1553469407,70,59.64,-151.54,48.2,3.36
518,Leningradskiy,76,RU,1553469695,100,69.38,178.42,4.08,9.64
519,Kawalu,68,ID,1553469695,92,-7.38,108.21,68.61,1.92
520,Ponnani,0,IN,1553468400,83,10.77,75.93,78.8,3.36
521,Pevek,48,RU,1553469466,92,69.7,170.27,0.75,10.98
522,Grenada,75,US,1553469371,25,33.77,-89.81,75.2,11.41
523,Pisco,0,PE,1553468400,30,-13.71,-76.2,71.6,19.46
524,Atbasar,88,KZ,1553469696,80,51.81,68.36,26.85,4.61
